DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
02/15/2018,2867011650,ORDINARY DIVIDEND (HRL),,HRL,,,13.13,,,,
02/15/2018,2866884363,ORDINARY DIVIDEND (LNT),,LNT,,,0.02,,,,
02/15/2018,2866884347,ORDINARY DIVIDEND (LNT),,LNT,,,10.05,,,,
02/15/2018,2866884330,ORDINARY DIVIDEND (ABT),,ABT,,,4.20,,,,
02/07/2018,2863128347,ORDINARY DIVIDEND (LOW),,LOW,,,6.15,,,,
02/01/2018,2861038981,ORDINARY DIVIDEND (VZ),,VZ,,,12.98,,,,
02/01/2018,2861038965,ORDINARY DIVIDEND (TD),,TD,,,10.73,,,,
02/01/2018,2861038949,ORDINARY DIVIDEND (GIS),,GIS,,,18.62,,,,
02/01/2018,2861038933,ORDINARY DIVIDEND (T),,T,,,16.50,,,,
01/16/2018,2783420590,ORDINARY DIVIDEND (MKC),,MKC,,,5.72,,,,
01/16/2018,2782348774,ORDINARY DIVIDEND (SRE),,SRE,,,15.63,,,,
01/12/2018,2782695488,ORDINARY DIVIDEND (O),,O,,,5.95,,,,
01/11/2018,2782480466,ORDINARY DIVIDEND (PM),,PM,,,32.10,,,,
01/10/2018,2786846843,ORDINARY DIVIDEND (MO),,MO,,,29.70,,,,
01/02/2018,2785432906,ORDINARY DIVIDEND (NKE),,NKE,,,4.00,,,,
01/02/2018,2785432878,ORDINARY DIVIDEND (GPC),,GPC,,,16.20,,,,
01/02/2018,2785432860,ORDINARY DIVIDEND (ADP),,ADP,,,5.67,,,,
***END OF FILE***
